taxa	abundance
Sphaerobacter	0.0003
Sphingobium	0.0006
Sphingomonas	0.0014
Sphingopyxis	0.0011
Spirosoma	0.0006
Stackebrandtia	0.0054
Staphylococcus	0.0068
Stenotrophomonas	0.0006
Stigmatella	0.0011
Streptococcus	0.0048
Streptomyces	0.0051
Streptosporangium	0.0008
Subdoligranulum	0.0006
Sulfitobacter	0.0006
Sulfurihydrogenibium	0.0017
Sulfurimonas	0.0023
Sulfurospirillum	0.0003
Sulfurovum	0.0017
Symbiobacterium	0.0014
Synechococcus	0.0040
Syntrophobacter	0.0025
Syntrophomonas	0.0014
Teredinibacter	0.0011
Thermanaerovibrio	0.0011
Thermoanaerobacter	0.0008
Thermoanaerobacterium	0.0008
Thermobifida	0.0014
Thermocrinis	0.0014
Thermodesulfovibrio	0.0028
Thermomicrobium	0.0006
Thermomonospora	0.0006
Thermoplasma	0.0003
Thermosinus	0.0003
Thermosipho	0.0017
Thermotoga	0.0020
Thermus	0.0003
Thioalkalivibrio	0.0011
Thiobacillus	0.0008
Thiomicrospira	0.0017
Thiomonas	0.0020
Tolumonas	0.0008
Treponema	0.0025
Trichodesmium	0.0011
Trichormus	0.0006
Tropheryma	0.0023
Tsukamurella	0.0025
Turicibacter	0.0006
Ureaplasma	0.0006
Variovorax	0.0006
Verminephrobacter	0.0006
Verrucomicrobium	0.0011
Vibrio	0.0017
Weissella	0.0127
Wigglesworthia	0.0031
Wolbachia	0.0011
Wolinella	0.0006
Xanthobacter	0.0008
Xanthomonas	0.0028
Xylella	0.0017
Yersinia	0.0020
Zunongwangia	0.0003
Zymomonas	0.0008
unclassified	0.0368
